consulate_country_region,visitor_visa_applications,visitor_visa_issued,visitor_visa_not_issued,visitor_visa_refusal_rate,visitor_visa_fee,visitor_visa_fee_per_capita
East Asia & Pacific,2042682,1897580,126970,0.06215847596444283,163414560,86.11734946616217
Europe & Central Asia,2987926,2562281,333670,0.11167277904472868,239034080,93.2895650399
Latin America & Caribbean,260977,191367,63256,0.2423815125470827,20878160,109.10010607889552
Middle East & North Africa,2955840,2281637,619019,0.209422363862726,236467200,103.63927303072312
North America,210793,197457,8593,0.04076511079589929,16863440,85.403100421864
South Asia,1132536,899679,224103,0.19787715357392613,90602880,100.70578506333926
Sub-Saharan Africa,1036171,744036,275578,0.26595803202367174,82893680,111.41084571176664
